1,-94,0.005
2,-94,0.005
3,-116,0.005
4,-118,0.005
5,-96,0.005
6,-94,0.005
7,-98,0.005
8,-118,0.005
9,-112,0.005
10,-95,0.005
11,-93,0.005
12,-97,0.005
13,-121,0.005
14,-99,0.005
15,-97,0.005
16,-94,0.005
17,-93,0.005
18,-95,0.005
19,-96,0.005
20,-95,0.005
21,-94,0.005
22,-94,0.005
23,-94,0.005
24,-94,0.005
25,-94,0.005
26,-98,0.005
27,-94,0.005
28,-94,0.005
29,-96,0.005
30,-102,0.005
31,-108,0.005
32,-106,0.005
33,-102,0.005
34,-106,0.005
35,-103,0.005
36,-106,0.005
37,-250,0.005
38,-116,0.005
39,-129,0.005
40,-116,0.005
41,-129,0.005
42,-102,0.005
43,-103,0.005
44,-129,0.005
45,-105,0.005
46,-110,0.005
47,-103,0.005
48,-103,0.005
49,-102,0.005
50,-101,0.005
51,-105,0.005
52,-103,0.005
53,-106,0.005
54,-101,0.005
55,-104,0.005
56,-101,0.005
57,-103,0.005
58,-121,0.005
59,-101,0.005
60,-102,0.005
61,-102,0.005
62,-101,0.005
63,-114,0.005
64,-103,0.005
65,-103,0.005
66,-111,0.005
67,-108,0.005
68,-114,0.005
69,-113,0.005
70,-109,0.005
71,-104,0.005
72,-108,0.005
73,-108,0.005
74,-100,0.005
75,-103,0.005
76,-106,0.005
77,-125,0.005
78,-115,0.005
79,-120,0.005
80,-108,0.005
81,-116,0.005
82,-105,0.005
83,-127,0.005
84,-105,0.005
85,-108,0.005
86,-126,0.005
87,-99,0.005
88,-108,0.005
89,-102,0.005
90,-97,0.005
91,-131,0.005
92,-100,0.005
93,-107,0.005
94,-104,0.005
95,-107,0.005
96,-104,0.005
97,-102,0.005
98,-103,0.005
99,-102,0.005
100,-134,0.005
101,-106,0.005
102,-109,0.005
103,-110,0.005
104,-112,0.005
105,-114,0.005
106,-109,0.005
107,-110,0.005
108,-95,0.005
109,-83,0.005
110,-169,0.005
111,-135,0.005
112,-144,0.005
113,-126,0.005
114,-129,0.005
115,-125,0.005
116,-152,0.005
117,-126,0.005
118,-106,0.005
119,-115,0.005
120,-109,0.005
121,-107,0.005
122,-105,0.005
123,-109,0.005
124,-106,0.005
125,-116,0.005
126,-140,0.005
127,-123,0.005
128,-135,0.005
129,-112,0.005
130,-120,0.005
131,-130,0.005
132,-127,0.005
133,-127,0.005
134,-128,0.005
135,-131,0.005
136,-113,0.005
137,-104,0.005
138,-155,0.005
139,-115,0.005
140,-117,0.005
141,-129,0.005
142,-124,0.005
